	Point 1 (Reference Step: 0)		Point 1 (Reference Step: 0)		Point 2 (Reference Step: 0)		Point 2 (Reference Step: 0)	
Step No.	x Displacement	Uncertainty of x Displacement	y Displacement	Uncertainty of y Displacement	x Displacement	Uncertainty of x Displacement	y Displacement	Uncertainty of y Displacement
	Displacement/mm	Displacement/mm	Displacement/mm	Displacement/mm	Displacement/mm	Displacement/mm	Displacement/mm	Displacement/mm
163	-1.91383	0.00331294	6.32271	0.00238497	-1.25287	0.00354894	4.60694	0.00230239
164	-2.23672	0.00353426	7.21029	0.00254118	-1.47599	0.0039337	5.27964	0.00250772
165	-2.5763	0.00370709	8.08489	0.00265135	-1.7083	0.00378924	5.94471	0.002409
166	-2.83298	0.00368686	8.73508	0.00265096	-1.87707	0.00377586	6.44316	0.0024427
167	-3.01286	0.00349688	9.18459	0.00256708	-2.00179	0.00407211	6.7902	0.00256811
168	-3.13635	0.00356282	9.48793	0.00261901	-2.07698	0.00434477	7.01999	0.00263681
169	-3.23263	0.00337794	9.7062	0.00252847	-2.1471	0.00417229	7.18703	0.00257886
170	-3.29775	0.0037228	9.86014	0.00271759	-2.19324	0.0043596	7.30514	0.00266334
171	-3.34399	0.00357548	9.96549	0.00265265	-2.22441	0.0043848	7.38368	0.00269009
172	-3.37448	0.00369826	10.033	0.00266584	-2.24186	0.00421044	7.43981	0.00259246
173	-3.36211	0.00354656	10.0047	0.0025722	-2.23664	0.00433734	7.42378	0.00258609
174	-3.24942	0.00359309	9.76836	0.00263363	-2.16894	0.00415288	7.24864	0.00261793
175	-3.14128	0.00387487	9.52962	0.0027551	-2.09533	0.0040619	7.07857	0.00256566
176	-3.03889	0.00344868	9.30186	0.00257389	-2.03245	0.00424049	6.92126	0.0026685
177	-2.94415	0.00359512	9.08231	0.00263417	-1.98104	0.00431964	6.75982	0.00255744
178	-2.84282	0.00336456	8.83835	0.00245675	-1.90639	0.00373854	6.58179	0.00240109
179	-2.74298	0.00352935	8.58539	0.00257978	-1.83556	0.00382977	6.39973	0.00243776
180	-2.64823	0.00349958	8.3778	0.00251692	-1.78107	0.00414898	6.24363	0.00262071
181	-2.5716	0.00332384	8.17529	0.0024168	-1.73145	0.00403226	6.09342	0.0025441
182	-2.50173	0.00322993	8.01696	0.00238549	-1.68032	0.00395398	5.97592	0.00253212
