	Point 2 (Reference Step: 0)		Point 2 (Reference Step: 0)	
Step No.	x Displacement	Uncertainty of x Displacement	y Displacement	Uncertainty of y Displacement
	Displacement/mm	Displacement/mm	Displacement/mm	Displacement/mm
391	-9.82093	0.00213844	27.9958	0.00151909
392	-9.82688	0.00212501	28.0031	0.00151418
393	-9.83274	0.00209353	28.0112	0.0014858
394	-9.83896	0.00209222	28.0182	0.00148661
395	-9.84486	0.00207453	28.0273	0.00147748
396	-9.85398	0.00211932	28.0327	0.00150219
397	-9.86103	0.00214369	28.0409	0.00152008
398	-9.89103	0.00232472	28.0832	0.00162619
399	-10.088	0.00218573	28.3511	0.00156942
400	-10.302	0.00212054	28.6624	0.00152382
401	-10.5198	0.0021662	28.9577	0.00154169
402	-10.8551	0.00209992	29.4239	0.00154267
403	-11.1112	0.00208784	29.7561	0.00154035
404	-11.3024	0.0021298	30.0027	0.00155157
405	-11.6005	0.00221304	30.388	0.00162866
406	-11.9012	0.00222116	30.77	0.00163955
407	-12.1132	0.0021978	31.0321	0.00160657
408	-12.3169	0.00203931	31.2797	0.00152772
409	-12.6191	0.00197438	31.6357	0.00149835
410	-12.8524	0.002034	31.9068	0.00152758
411	-13.0267	0.00211956	32.1116	0.0016027
412	-13.1986	0.00209356	32.3111	0.00158783
413	-13.4569	0.00208449	32.6015	0.00157835
414	-13.7202	0.00215145	32.906	0.00165138
415	-13.9259	0.00213209	33.1268	0.00162941
416	-14.0817	0.00219699	33.3053	0.00167418
417	-14.2156	0.00214339	33.4537	0.00165626
418	-14.4093	0.00206577	33.6669	0.00158607
419	-14.6258	0.00216231	33.904	0.00166222
420	-14.7799	0.00203673	34.075	0.00158242
421	-14.9024	0.0019803	34.2025	0.00154154
422	-15.0003	0.00210247	34.3003	0.00163112
423	-15.0747	0.00211865	34.3839	0.00165424
424	-15.1476	0.00216503	34.4581	0.00166366
425	-15.2347	0.00202956	34.5461	0.00159988
426	-15.3182	0.00196792	34.6383	0.00154867
427	-15.3938	0.00208561	34.7141	0.00163083
428	-15.459	0.00198332	34.7868	0.00157975
429	-15.5191	0.00211057	34.845	0.00164563
430	-15.5828	0.00201873	34.9166	0.00160486
431	-15.6662	0.00208718	34.9983	0.00163617
432	-15.7332	0.00210154	35.0666	0.00166317
433	-15.8018	0.00209097	35.1374	0.00163914
434	-15.8687	0.0020952	35.2048	0.00165724
435	-15.9529	0.00203021	35.2912	0.00160495
436	-16.0506	0.00208349	35.3813	0.00165761
437	-16.1267	0.00218515	35.4637	0.00173705
438	-16.1976	0.0020314	35.5307	0.00162308
439	-16.2542	0.00214228	35.5924	0.00171372
440	-16.3092	0.00213461	35.6404	0.00170119
441	-16.3379	0.00201392	35.6755	0.00161073
442	-16.3536	0.00209038	35.6949	0.0016612
443	-16.3754	0.00210122	35.7174	0.00167854
444	-16.3956	0.00219402	35.7383	0.00173724
445	-16.4178	0.00213606	35.7562	0.00169787
446	-16.44	0.00209648	35.7779	0.00167341
447	-16.4577	0.00203913	35.7968	0.00162509
448	-16.4744	0.00204211	35.8177	0.00163042
449	-16.4952	0.00205954	35.8351	0.00164531
450	-16.5114	0.0021593	35.8531	0.00169436
451	-16.5179	0.00217173	35.8605	0.00171799
452	-16.5193	0.00218195	35.8624	0.00172302
453	-16.5254	0.00218686	35.8674	0.00172076
454	-16.5399	0.00216218	35.8798	0.00171078
